SAL_NAME21,district_label,member,party,pct_area
Somerton (Vic.),Broadmeadows District,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,1.39
Sorrento (Vic.),Nepean District,"GROTH, Sam",Liberal,99.08
South Melbourne,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,93.54
South Melbourne,Prahran District,"HIBBINS, Sam",Australian Greens,6.46
South Morang,Mill Park District,"D'AMBROSIO, Lily",Australian Labor Party - Victorian Branch,90.95
South Morang,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,9.05
Southbank,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,82.48
Southbank,Prahran District,"HIBBINS, Sam",Australian Greens,17.43
St Andrews Beach,Nepean District,"GROTH, Sam",Liberal,99.13
St Germains,Murray Plains District,"WALSH, Peter",The Nationals,99.41
St Germains,Shepparton District,"O'KEEFFE, Kim",The Nationals,0.59
St Kilda (Vic.),Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,70.92
St Kilda (Vic.),Prahran District,"HIBBINS, Sam",Australian Greens,26.77
St Kilda (Vic.),Caulfield District,"SOUTHWICK, David",Liberal,1.28
St Kilda East,Caulfield District,"SOUTHWICK, David",Liberal,72.26
St Kilda East,Prahran District,"HIBBINS, Sam",Australian Greens,27.74
Stewarton (Vic.),Euroa District,"CLEELAND, Annabelle",The Nationals,77.29
Stewarton (Vic.),Shepparton District,"O'KEEFFE, Kim",The Nationals,22.71
Strangways,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,79.9
Strangways,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,20.1
Strathlea,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,74.93
Strathlea,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,25.07
Strathmore (Vic.),Essendon District,"PEARSON, Danny",Australian Labor Party - Victorian Branch,99.37
Strathmore (Vic.),Broadmeadows District,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,0.34
Strathmore (Vic.),Pascoe Vale District,"CIANFLONE, Anthony",Australian Labor Party - Victorian Branch,0.29
Strathmore Heights,Essendon District,"PEARSON, Danny",Australian Labor Party - Victorian Branch,91.14
Strathmore Heights,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,8.32
Strathmore Heights,Broadmeadows District,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,0.54
Streatham,Lowan District,"KEALY, Emma",The Nationals,69.41
Streatham,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,30.59
Strzelecki (Vic.),Gippsland South District,"O'BRIEN, Danny",The Nationals,85.24
Strzelecki (Vic.),Narracan District,"FARNHAM, Wayne",Liberal,14.76
Summerlands,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,98.31
Sunderland Bay,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,98.67
Surf Beach (Vic.),Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,99.15
Surrey Hills,Hawthorn District,"PESUTTO, John",Liberal,43.9
Surrey Hills,Box Hill District,"HAMER, Paul",Australian Labor Party - Victorian Branch,38.31
Surrey Hills,Kew District,"WILSON, Jess",Liberal,17.79
Swan Island,Bellarine District,"MARCHANT, Alison",Australian Labor Party - Victorian Branch,98.38
Tanjil South,Narracan District,"FARNHAM, Wayne",Liberal,79.21
Tanjil South,Morwell District,"CAMERON, Martin",The Nationals,20.79
Tarneit,Tarneit District,"WIGHT, Dylan",Australian Labor Party - Victorian Branch,93.59
Tarneit,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,6.4
Taroon,South-West Coast District,"BRITNELL, Roma",Liberal,61.82
Taroon,Polwarth District,"RIORDAN, Richard",Liberal,38.18
Tarwin Lower,Gippsland South District,"O'BRIEN, Danny",The Nationals,92.33
Tatura,Shepparton District,"O'KEEFFE, Kim",The Nationals,67.67
Tatura,Euroa District,"CLEELAND, Annabelle",The Nationals,32.33
Tatyoon,Lowan District,"KEALY, Emma",The Nationals,62.2
Tatyoon,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,37.8
Tawonga,Ovens Valley District,"McCURDY, Tim",The Nationals,99.1
Tawonga,Benambra District,"TILLEY, Bill",Liberal,0.88
Taylors Lakes,Sydenham District,"HUTCHINS, Natalie",Australian Labor Party - Victorian Branch,77.18
Taylors Lakes,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,22.82
Templestowe,Bulleen District,"GUY, Matthew",Liberal,91.45
Templestowe,Warrandyte District,"SMITH, Ryan",Liberal,8.47
Terrappee,Murray Plains District,"WALSH, Peter",The Nationals,92.48
Terrappee,Mildura District,"BENHAM, Jade",The Nationals,7.52
The Basin (Vic.),Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,81.51
The Basin (Vic.),Bayswater District,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,18.49
The Sisters,Lowan District,"KEALY, Emma",The Nationals,67.06
The Sisters,South-West Coast District,"BRITNELL, Roma",Liberal,32.94
Thologolong,Benambra District,"TILLEY, Bill",Liberal,99.48
Thornhill Park,Melton District,"McGHIE, Steve",Australian Labor Party - Victorian Branch,70.02
Thornhill Park,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,29.98
Tittybong,Murray Plains District,"WALSH, Peter",The Nationals,99.04
Tittybong,Mildura District,"BENHAM, Jade",The Nationals,0.96
Tolmie,Eildon District,"McLEISH, Cindy",Liberal,54.44
Tolmie,Ovens Valley District,"McCURDY, Tim",The Nationals,45.49
Tom Groggin,Benambra District,"TILLEY, Bill",Liberal,86.41
Tom Groggin,Gippsland East District,"BULL, Tim",The Nationals,13.57
Toolamba,Shepparton District,"O'KEEFFE, Kim",The Nationals,58.05
Toolamba,Euroa District,"CLEELAND, Annabelle",The Nationals,41.95
Toolern Vale,Melton District,"McGHIE, Steve",Australian Labor Party - Victorian Branch,97.86
Toolern Vale,Sunbury District,"BULL, Josh",Australian Labor Party - Victorian Branch,2.07
Toongabbie (Vic.),Gippsland South District,"O'BRIEN, Danny",The Nationals,56.6
Toongabbie (Vic.),Narracan District,"FARNHAM, Wayne",Liberal,43.38
Tooradin,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,97.88
Toorongo,Narracan District,"FARNHAM, Wayne",Liberal,50.68
Toorongo,Eildon District,"McLEISH, Cindy",Liberal,49.32
Tootgarook,Nepean District,"GROTH, Sam",Liberal,99.22
Towaninny,Mildura District,"BENHAM, Jade",The Nationals,70.32
Towaninny,Murray Plains District,"WALSH, Peter",The Nationals,29.68
Trida,Gippsland South District,"O'BRIEN, Danny",The Nationals,59.32
Trida,Narracan District,"FARNHAM, Wayne",Liberal,40.68
Truganina,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,57.28
Truganina,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,42.69
Tullamarine,Sunbury District,"BULL, Josh",Australian Labor Party - Victorian Branch,90.86
Tullamarine,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,9.14
Tyrrell,Mildura District,"BENHAM, Jade",The Nationals,55.84
Tyrrell,Murray Plains District,"WALSH, Peter",The Nationals,44.16
Upper Ryans Creek,Euroa District,"CLEELAND, Annabelle",The Nationals,96.0
Upper Ryans Creek,Ovens Valley District,"McCURDY, Tim",The Nationals,4.0
Ventnor (Vic.),Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,99.39
Venus Bay (Vic.),Gippsland South District,"O'BRIEN, Danny",The Nationals,98.23
Vermont,Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,74.18
Vermont,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,25.81
Walhalla,Narracan District,"FARNHAM, Wayne",Liberal,56.49
Walhalla,Gippsland East District,"BULL, Tim",The Nationals,43.51
Wallagaraugh,Gippsland East District,"BULL, Tim",The Nationals,99.43
Wallan,Kalkallo District,"SPENCE, Ros",Australian Labor Party - Victorian Branch,83.28
Wallan,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,16.61
