SAL_NAME21,district_label,member,party,pct_area
Boweya,Euroa District,"CLEELAND, Annabelle",The Nationals,62.12
Boweya,Ovens Valley District,"McCURDY, Tim",The Nationals,37.88
Boxwood,Euroa District,"CLEELAND, Annabelle",The Nationals,69.41
Boxwood,Shepparton District,"O'KEEFFE, Kim",The Nationals,30.54
Branxholme,Lowan District,"KEALY, Emma",The Nationals,82.11
Branxholme,South-West Coast District,"BRITNELL, Roma",Liberal,17.89
Breamlea,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,96.83
Breamlea,Polwarth District,"RIORDAN, Richard",Liberal,0.17
Briar Hill,Eltham District,"WARD, Vicki",Australian Labor Party - Victorian Branch,78.05
Briar Hill,Bundoora District,"BROOKS, Colin",Australian Labor Party - Victorian Branch,21.95
Bridge Creek,Eildon District,"McLEISH, Cindy",Liberal,76.78
Bridge Creek,Euroa District,"CLEELAND, Annabelle",The Nationals,23.22
Brighton (Vic.),Brighton District,"NEWBURY, James",Liberal,99.38
Brighton (Vic.),Caulfield District,"SOUTHWICK, David",Liberal,0.38
Brighton East,Brighton District,"NEWBURY, James",Liberal,98.2
Brighton East,Bentleigh District,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,1.8
Brimin,Benambra District,"TILLEY, Bill",Liberal,99.36
Brimin,Ovens Valley District,"McCURDY, Tim",The Nationals,0.29
Broadmeadows (Vic.),Broadmeadows District,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,98.95
Broadmeadows (Vic.),Greenvale District,"WALTERS, Iwan",Australian Labor Party - Victorian Branch,1.05
Brooklyn (Vic.),Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,60.74
Brooklyn (Vic.),Williamstown District,"HORNE, Melissa",Australian Labor Party - Victorian Branch,39.26
Brown Hill (Vic.),Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,90.88
Brown Hill (Vic.),Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,8.71
Brown Hill (Vic.),Wendouree District,"ADDISON, Juliana",Australian Labor Party - Victorian Branch,0.41
Brunswick West,Brunswick District,"READ, Tim",Australian Greens,66.74
Brunswick West,Pascoe Vale District,"CIANFLONE, Anthony",Australian Labor Party - Victorian Branch,32.0
Brunswick West,Melbourne District,"SANDELL, Ellen",Australian Greens,1.09
Brunswick West,Essendon District,"PEARSON, Danny",Australian Labor Party - Victorian Branch,0.17
Buckrabanyule,Mildura District,"BENHAM, Jade",The Nationals,51.01
Buckrabanyule,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,48.99
Burnewang,Euroa District,"CLEELAND, Annabelle",The Nationals,99.3
Burnewang,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,0.4
Burnewang,Murray Plains District,"WALSH, Peter",The Nationals,0.3
Burwood (Vic.),Box Hill District,"HAMER, Paul",Australian Labor Party - Victorian Branch,53.13
Burwood (Vic.),Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,46.87
Burwood East,Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,47.85
Burwood East,Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,31.15
Burwood East,Box Hill District,"HAMER, Paul",Australian Labor Party - Victorian Branch,20.99
Byaduk,Lowan District,"KEALY, Emma",The Nationals,69.85
Byaduk,South-West Coast District,"BRITNELL, Roma",Liberal,30.15
Bylands,Euroa District,"CLEELAND, Annabelle",The Nationals,72.28
Bylands,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,27.71
California Gully,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,57.05
California Gully,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,42.95
Callawadda,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,56.77
Callawadda,Lowan District,"KEALY, Emma",The Nationals,43.23
Callignee North,Gippsland South District,"O'BRIEN, Danny",The Nationals,98.98
Callignee North,Morwell District,"CAMERON, Martin",The Nationals,1.02
Camberwell (Vic.),Hawthorn District,"PESUTTO, John",Liberal,98.56
Camberwell (Vic.),Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,1.13
Camberwell (Vic.),Kew District,"WILSON, Jess",Liberal,0.31
Campbells Bridge,Lowan District,"KEALY, Emma",The Nationals,59.98
Campbells Bridge,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,40.02
Campbells Creek,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,95.66
Campbells Creek,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,4.34
Campbells Forest,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,66.77
Campbells Forest,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,33.22
Campbelltown (Vic.),Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,68.62
Campbelltown (Vic.),Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,31.38
Cannons Creek,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,40.16
Canterbury (Vic.),Hawthorn District,"PESUTTO, John",Liberal,58.72
Canterbury (Vic.),Kew District,"WILSON, Jess",Liberal,41.28
Cape Woolamai,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,97.93
Caramut,Lowan District,"KEALY, Emma",The Nationals,69.77
Caramut,South-West Coast District,"BRITNELL, Roma",Liberal,30.23
Cardinia,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,62.4
Cardinia,Pakenham District,"VULIN, Emma",Australian Labor Party - Victorian Branch,37.58
Carisbrook,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,89.45
Carisbrook,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,10.55
Caroline Springs,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,83.39
Caroline Springs,Sydenham District,"HUTCHINS, Natalie",Australian Labor Party - Victorian Branch,16.61
Carrum,Carrum District,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,98.86
Catani,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,96.13
Catani,Narracan District,"FARNHAM, Wayne",Liberal,3.87
Chadstone,Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,68.17
Chadstone,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,31.79
Cheltenham (Vic.),Sandringham District,"ROWSWELL, Brad",Liberal,39.85
Cheltenham (Vic.),Bentleigh District,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,32.31
Cheltenham (Vic.),Clarinda District,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,27.84
Chirnside Park,Warrandyte District,"SMITH, Ryan",Liberal,60.04
Chirnside Park,Evelyn District,"VALLENCE, Bridget",Liberal,39.92
Churchill Island,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,97.65
Clarkefield,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,82.82
Clarkefield,Sunbury District,"BULL, Josh",Australian Labor Party - Victorian Branch,17.08
Clifton Springs,Bellarine District,"MARCHANT, Alison",Australian Labor Party - Victorian Branch,99.12
Clonbinane,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,54.4
Clonbinane,Euroa District,"CLEELAND, Annabelle",The Nationals,45.53
Clyde (Vic.),Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,90.94
Clyde (Vic.),Cranbourne District,"RICHARDS, Pauline",Australian Labor Party - Victorian Branch,9.06
Clyde North,Berwick District,"BATTIN, Brad",Liberal,90.41
Clyde North,Cranbourne District,"RICHARDS, Pauline",Australian Labor Party - Victorian Branch,9.39
Clyde North,Narre Warren South District,"MAAS, Gary",Australian Labor Party - Victorian Branch,0.14
Clydebank,Gippsland East District,"BULL, Tim",The Nationals,99.45
Clydebank,Gippsland South District,"O'BRIEN, Danny",The Nationals,0.55
Cobains,Gippsland East District,"BULL, Tim",The Nationals,51.66
Cobains,Gippsland South District,"O'BRIEN, Danny",The Nationals,48.34
Cobungra,Gippsland East District,"BULL, Tim",The Nationals,56.85
Cobungra,Ovens Valley District,"McCURDY, Tim",The Nationals,43.15
Condah,South-West Coast District,"BRITNELL, Roma",Liberal,92.37
Condah,Lowan District,"KEALY, Emma",The Nationals,7.63
Connewarre,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,50.88
Connewarre,Bellarine District,"MARCHANT, Alison",Australian Labor Party - Victorian Branch,49.03
Coolaroo,Broadmeadows District,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,99.05
Coolaroo,Greenvale District,"WALTERS, Iwan",Australian Labor Party - Victorian Branch,0.95
Coomboona,Shepparton District,"O'KEEFFE, Kim",The Nationals,73.02
Coomboona,Murray Plains District,"WALSH, Peter",The Nationals,26.98
Coonooer Bridge,Mildura District,"BENHAM, Jade",The Nationals,53.05
Coonooer Bridge,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,46.95
Cope Cope,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,56.58
Cope Cope,Mildura District,"BENHAM, Jade",The Nationals,43.42
Corinella (Vic.),Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,99.44
Corio,Lara District,"GEORGE, Ella",Australian Labor Party - Victorian Branch,96.96
Coronet Bay,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,99.03
Corringle,Gippsland East District,"BULL, Tim",The Nationals,99.49
Cosgrove South,Shepparton District,"O'KEEFFE, Kim",The Nationals,90.02
Cosgrove South,Euroa District,"CLEELAND, Annabelle",The Nationals,9.98
Cowwarr,Gippsland South District,"O'BRIEN, Danny",The Nationals,93.8
Cowwarr,Gippsland East District,"BULL, Tim",The Nationals,6.2
Craigieburn,Kalkallo District,"SPENCE, Ros",Australian Labor Party - Victorian Branch,85.92
Craigieburn,Greenvale District,"WALTERS, Iwan",Australian Labor Party - Victorian Branch,14.04
Cranbourne South,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,75.46
Cranbourne South,Cranbourne District,"RICHARDS, Pauline",Australian Labor Party - Victorian Branch,24.54
Creek Junction,Euroa District,"CLEELAND, Annabelle",The Nationals,88.71
Creek Junction,Eildon District,"McLEISH, Cindy",Liberal,11.29
Cressy (Vic.),Polwarth District,"RIORDAN, Richard",Liberal,61.02
Cressy (Vic.),Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,38.98
Crib Point,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,98.81
Crowlands,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,85.4
Crowlands,Lowan District,"KEALY, Emma",The Nationals,14.6
Croydon Hills,Croydon District,"HODGETT, David",Liberal,96.71
Croydon Hills,Warrandyte District,"SMITH, Ryan",Liberal,3.29
Croydon South,Croydon District,"HODGETT, David",Liberal,98.45
Croydon South,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,1.55
Curdievale,Polwarth District,"RIORDAN, Richard",Liberal,74.73
Curdievale,South-West Coast District,"BRITNELL, Roma",Liberal,25.27
Dandenong North,Dandenong District,"WILLIAMS, Gabrielle",Australian Labor Party - Victorian Branch,85.98
Dandenong North,Mulgrave District,"ANDREWS, Daniel",Australian Labor Party - Victorian Branch,13.89
Dandenong South,Dandenong District,"WILLIAMS, Gabrielle",Australian Labor Party - Victorian Branch,79.51
Dandenong South,Carrum District,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,20.36
Dandenong South,Narre Warren South District,"MAAS, Gary",Australian Labor Party - Victorian Branch,0.14
Dargo,Gippsland East District,"BULL, Tim",The Nationals,67.74
Dargo,Ovens Valley District,"McCURDY, Tim",The Nationals,32.26
Darley,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,99.03
Darley,Melton District,"McGHIE, Steve",Australian Labor Party - Victorian Branch,0.96
Darlington (Vic.),Lowan District,"KEALY, Emma",The Nationals,73.6
Darlington (Vic.),Polwarth District,"RIORDAN, Richard",Liberal,26.4
Dartmoor (Vic.),Lowan District,"KEALY, Emma",The Nationals,94.15
Dartmoor (Vic.),South-West Coast District,"BRITNELL, Roma",Liberal,5.85
Dartmouth,Benambra District,"TILLEY, Bill",Liberal,80.73
Dartmouth,Gippsland East District,"BULL, Tim",The Nationals,19.27
Deanside,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,72.58
Deanside,Sydenham District,"HUTCHINS, Natalie",Australian Labor Party - Victorian Branch,27.42
Deer Park,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,94.09
Deer Park,St Albans District,"SULEYMAN, Natalie",Australian Labor Party - Victorian Branch,5.91
Denison,Gippsland South District,"O'BRIEN, Danny",The Nationals,99.49
Denison,Gippsland East District,"BULL, Tim",The Nationals,0.51
Derrimut,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,59.67
Derrimut,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,40.33
Devon Meadows,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,86.0
Devon Meadows,Cranbourne District,"RICHARDS, Pauline",Australian Labor Party - Victorian Branch,14.0
Dewhurst,Pakenham District,"VULIN, Emma",Australian Labor Party - Victorian Branch,99.48
Dewhurst,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,0.52
Docklands,Melbourne District,"SANDELL, Ellen",Australian Greens,78.89
Docklands,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,21.11
Doncaster East,Warrandyte District,"SMITH, Ryan",Liberal,69.72
Doncaster East,Bulleen District,"GUY, Matthew",Liberal,30.28
Donvale,Warrandyte District,"SMITH, Ryan",Liberal,94.39
Donvale,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,5.61
Doveton,Dandenong District,"WILLIAMS, Gabrielle",Australian Labor Party - Victorian Branch,98.17
Doveton,Narre Warren North District,"WILSON, Belinda",Australian Labor Party - Victorian Branch,1.83
Drik Drik,South-West Coast District,"BRITNELL, Roma",Liberal,54.03
Drik Drik,Lowan District,"KEALY, Emma",The Nationals,45.97
Durham Lead,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,88.19
Durham Lead,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,11.81
Eaglehawk,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,83.15
Eaglehawk,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,16.85
East Geelong,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,99.32
East Melbourne,Melbourne District,"SANDELL, Ellen",Australian Greens,97.79
East Melbourne,Richmond District,"DE VIETRI, Gabrielle",Australian Greens,2.21
Ecklin South,Polwarth District,"RIORDAN, Richard",Liberal,85.52
Ecklin South,South-West Coast District,"BRITNELL, Roma",Liberal,14.48
Eddington,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,71.28
Eddington,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,28.72
Edithvale,Mordialloc District,"RICHARDSON, Tim",Australian Labor Party - Victorian Branch,98.98
Ellerslie (Vic.),South-West Coast District,"BRITNELL, Roma",Liberal,68.25
Ellerslie (Vic.),Lowan District,"KEALY, Emma",The Nationals,31.75
Elwood,Brighton District,"NEWBURY, James",Liberal,98.16
Elwood,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,1.63
Eppalock,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,97.01
Eppalock,Euroa District,"CLEELAND, Annabelle",The Nationals,2.99
Epping (Vic.),Thomastown District,"HALFPENNY, Bronwyn",Australian Labor Party - Victorian Branch,73.09
Epping (Vic.),Mill Park District,"D'AMBROSIO, Lily",Australian Labor Party - Victorian Branch,26.88
Esmond,Ovens Valley District,"McCURDY, Tim",The Nationals,98.81
Esmond,Benambra District,"TILLEY, Bill",Liberal,1.19
Essendon,Essendon District,"PEARSON, Danny",Australian Labor Party - Victorian Branch,78.74
Essendon,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,21.24
Essendon Fields,Essendon District,"PEARSON, Danny",Australian Labor Party - Victorian Branch,96.12
Essendon Fields,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,3.88
Eumemmerring,Dandenong District,"WILLIAMS, Gabrielle",Australian Labor Party - Victorian Branch,99.17
Eumemmerring,Narre Warren North District,"WILSON, Belinda",Australian Labor Party - Victorian Branch,0.83
Eynesbury,Melton District,"McGHIE, Steve",Australian Labor Party - Victorian Branch,52.31
Eynesbury,Werribee District,"PALLAS, Tim",Australian Labor Party - Victorian Branch,47.67
Ferntree Gully,Bayswater District,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,56.32
Ferntree Gully,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,41.51
Ferntree Gully,Rowville District,"WELLS, Kim",Liberal,2.17
Fitzroy North,Brunswick District,"READ, Tim",Australian Greens,96.41
Fitzroy North,Richmond District,"DE VIETRI, Gabrielle",Australian Greens,3.54
Flemington,Essendon District,"PEARSON, Danny",Australian Labor Party - Victorian Branch,99.36
Flemington,Melbourne District,"SANDELL, Ellen",Australian Greens,0.57
Flowerdale (Vic.),Eildon District,"McLEISH, Cindy",Liberal,87.86
Flowerdale (Vic.),Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,12.14
Flynn (Vic.),Morwell District,"CAMERON, Martin",The Nationals,57.81
Flynn (Vic.),Gippsland South District,"O'BRIEN, Danny",The Nationals,42.19
Flynns Creek,Morwell District,"CAMERON, Martin",The Nationals,99.37
Flynns Creek,Gippsland South District,"O'BRIEN, Danny",The Nationals,0.63
Forest Hill (Vic.),Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,78.58
Forest Hill (Vic.),Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,21.42
Frankston North,Frankston District,"EDBROOKE, Paul",Australian Labor Party - Victorian Branch,81.02
Frankston North,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,18.97
Freshwater Creek,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,61.32
Freshwater Creek,Polwarth District,"RIORDAN, Richard",Liberal,38.68
Fyansford,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,80.99
Fyansford,Lara District,"GEORGE, Ella",Australian Labor Party - Victorian Branch,18.93
Gardenvale,Caulfield District,"SOUTHWICK, David",Liberal,98.65
Gardenvale,Brighton District,"NEWBURY, James",Liberal,1.35
Geelong,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,99.31
Gembrook,Narracan District,"FARNHAM, Wayne",Liberal,51.49
Gembrook,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,47.99
Gembrook,Eildon District,"McLEISH, Cindy",Liberal,0.51
Gillieston,Murray Plains District,"WALSH, Peter",The Nationals,69.94
Gillieston,Shepparton District,"O'KEEFFE, Kim",The Nationals,20.01
Gillieston,Euroa District,"CLEELAND, Annabelle",The Nationals,10.04
Gladstone Park,Sunbury District,"BULL, Josh",Australian Labor Party - Victorian Branch,91.84
Gladstone Park,Broadmeadows District,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,5.27
Gladstone Park,Greenvale District,"WALTERS, Iwan",Australian Labor Party - Victorian Branch,1.81
Gladstone Park,Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,1.09
Glen Iris (Vic.),Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,62.59
Glen Iris (Vic.),Malvern District,"O'BRIEN, Michael",Liberal,32.85
Glen Iris (Vic.),Hawthorn District,"PESUTTO, John",Liberal,4.56
Glen Park,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,74.41
Glen Park,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,25.59
Glen Waverley,Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,97.83
Glen Waverley,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,2.17
Glengarry (Vic.),Gippsland South District,"O'BRIEN, Danny",The Nationals,82.68
Glengarry (Vic.),Morwell District,"CAMERON, Martin",The Nationals,17.32
Glengarry North,Morwell District,"CAMERON, Martin",The Nationals,84.49
Glengarry North,Narracan District,"FARNHAM, Wayne",Liberal,15.47
Glenloth East,Mildura District,"BENHAM, Jade",The Nationals,78.11
Glenloth East,Murray Plains District,"WALSH, Peter",The Nationals,21.89
Glenrowan,Ovens Valley District,"McCURDY, Tim",The Nationals,88.73
Glenrowan,Euroa District,"CLEELAND, Annabelle",The Nationals,11.27
Glenroy (Vic.),Broadmeadows District,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,97.43
Glenroy (Vic.),Niddrie District,"CARROLL, Ben",Australian Labor Party - Victorian Branch,2.57
Gnarwarre,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,98.84
Gnarwarre,Polwarth District,"RIORDAN, Richard",Liberal,1.0
Gnarwarre,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,0.16
Golden Point (Ballarat - Vic.),Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,99.37
Golden Point (Ballarat - Vic.),Wendouree District,"ADDISON, Juliana",Australian Labor Party - Victorian Branch,0.63
Golden Square,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,72.28
Golden Square,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,27.72
Grangefields,Melton District,"McGHIE, Steve",Australian Labor Party - Victorian Branch,66.58
Grangefields,Kororoit District,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,32.89
Grangefields,Sydenham District,"HUTCHINS, Natalie",Australian Labor Party - Victorian Branch,0.53
Great Western,Lowan District,"KEALY, Emma",The Nationals,89.27
Great Western,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,10.73
Greendale (Vic.),Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,60.15
Greendale (Vic.),Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,39.85
Greens Creek (Vic.),Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,81.74
Greens Creek (Vic.),Lowan District,"KEALY, Emma",The Nationals,18.26
Greensborough,Bundoora District,"BROOKS, Colin",Australian Labor Party - Victorian Branch,75.59
Greensborough,Eltham District,"WARD, Vicki",Australian Labor Party - Victorian Branch,24.41
Greenwald,South-West Coast District,"BRITNELL, Roma",Liberal,97.17
Greenwald,Lowan District,"KEALY, Emma",The Nationals,2.83
Grovedale,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,98.75
Grovedale,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,1.25
Guildford (Vic.),Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,70.23
Guildford (Vic.),Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,29.77
Gundowring,Benambra District,"TILLEY, Bill",Liberal,71.8
Gundowring,Ovens Valley District,"McCURDY, Tim",The Nationals,28.2
Hadfield,Broadmeadows District,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,99.06
Hadfield,Pascoe Vale District,"CIANFLONE, Anthony",Australian Labor Party - Victorian Branch,0.94
Hampton (Vic.),Brighton District,"NEWBURY, James",Liberal,61.17
Hampton (Vic.),Sandringham District,"ROWSWELL, Brad",Liberal,38.81
Hampton East,Brighton District,"NEWBURY, James",Liberal,50.92
Hampton East,Sandringham District,"ROWSWELL, Brad",Liberal,49.06
Hampton Park,Narre Warren South District,"MAAS, Gary",Australian Labor Party - Victorian Branch,90.71
Hampton Park,Narre Warren North District,"WILSON, Belinda",Australian Labor Party - Victorian Branch,9.29
Happy Valley (Golden Plains - Vic.),Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,98.67
Happy Valley (Golden Plains - Vic.),Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,1.33
Harcourt North,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,53.06
Harcourt North,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,46.94
Harkaway,Berwick District,"BATTIN, Brad",Liberal,86.25
Harkaway,Narre Warren North District,"WILSON, Belinda",Australian Labor Party - Victorian Branch,13.75
Harmers Haven,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,97.49
Hastings (Vic.),Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,99.17
Heath Hill,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,62.64
Heath Hill,Narracan District,"FARNHAM, Wayne",Liberal,37.36
Heathmont,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,99.2
Heathmont,Croydon District,"HODGETT, David",Liberal,0.77
Heyfield,Gippsland East District,"BULL, Tim",The Nationals,77.23
Heyfield,Gippsland South District,"O'BRIEN, Danny",The Nationals,22.77
Highett,Sandringham District,"ROWSWELL, Brad",Liberal,69.78
Highett,Bentleigh District,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,30.22
Highlands,Eildon District,"McLEISH, Cindy",Liberal,71.7
Highlands,Euroa District,"CLEELAND, Annabelle",The Nationals,28.3
Hmas Cerberus,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,97.36
Hoppers Crossing,Tarneit District,"WIGHT, Dylan",Australian Labor Party - Victorian Branch,92.4
Hoppers Crossing,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,7.1
Hoppers Crossing,Point Cook District,"HILAKARI, Mathew",Australian Labor Party - Victorian Branch,0.27
Hoppers Crossing,Werribee District,"PALLAS, Tim",Australian Labor Party - Victorian Branch,0.23
Hotspur,South-West Coast District,"BRITNELL, Roma",Liberal,54.36
Hotspur,Lowan District,"KEALY, Emma",The Nationals,45.64
Howitt Plains,Gippsland East District,"BULL, Tim",The Nationals,91.02
Howitt Plains,Eildon District,"McLEISH, Cindy",Liberal,8.95
Humevale,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,88.48
Humevale,Eildon District,"McLEISH, Cindy",Liberal,11.52
Invergordon (Vic.),Ovens Valley District,"McCURDY, Tim",The Nationals,91.51
Invergordon (Vic.),Shepparton District,"O'KEEFFE, Kim",The Nationals,8.49
Inverleigh,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,56.8
Inverleigh,Polwarth District,"RIORDAN, Richard",Liberal,43.2
Inverloch,Bass District,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,79.19
Inverloch,Gippsland South District,"O'BRIEN, Danny",The Nationals,13.93
Invermay Park,Wendouree District,"ADDISON, Juliana",Australian Labor Party - Victorian Branch,98.2
Invermay Park,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,1.8
Jeeralang,Gippsland South District,"O'BRIEN, Danny",The Nationals,83.83
Jeeralang,Morwell District,"CAMERON, Martin",The Nationals,16.17
Joel Joel,Lowan District,"KEALY, Emma",The Nationals,54.5
Joel Joel,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,45.5
Joel South,Lowan District,"KEALY, Emma",The Nationals,84.91
