POA_NAME21,district_label,member,party,pct_area
3072,Northcote District,"THEOPHANOUS, Kat",Australian Labor Party - Victorian Branch,31.66
3076,Thomastown District,"HALFPENNY, Bronwyn",Australian Labor Party - Victorian Branch,73.09
3076,Mill Park District,"D'AMBROSIO, Lily",Australian Labor Party - Victorian Branch,26.88
3082,Mill Park District,"D'AMBROSIO, Lily",Australian Labor Party - Victorian Branch,84.11
3082,Bundoora District,"BROOKS, Colin",Australian Labor Party - Victorian Branch,15.8
3083,Bundoora District,"BROOKS, Colin",Australian Labor Party - Victorian Branch,98.79
3083,Preston District,"LAMBERT, Nathan",Australian Labor Party - Victorian Branch,1.16
3085,Ivanhoe District,"CARBINES, Anthony",Australian Labor Party - Victorian Branch,58.13
3085,Bundoora District,"BROOKS, Colin",Australian Labor Party - Victorian Branch,41.84
3088,Bundoora District,"BROOKS, Colin",Australian Labor Party - Victorian Branch,60.8
3088,Eltham District,"WARD, Vicki",Australian Labor Party - Victorian Branch,39.2
3097,Eildon District,"McLEISH, Cindy",Liberal,99.05
3097,Warrandyte District,"SMITH, Ryan",Liberal,0.89
3106,Bulleen District,"GUY, Matthew",Liberal,91.45
3106,Warrandyte District,"SMITH, Ryan",Liberal,8.47
3109,Warrandyte District,"SMITH, Ryan",Liberal,69.72
3109,Bulleen District,"GUY, Matthew",Liberal,30.28
3111,Warrandyte District,"SMITH, Ryan",Liberal,94.39
3111,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,5.61
3115,Warrandyte District,"SMITH, Ryan",Liberal,99.22
3115,Croydon District,"HODGETT, David",Liberal,0.65
3115,Eildon District,"McLEISH, Cindy",Liberal,0.13
3116,Warrandyte District,"SMITH, Ryan",Liberal,60.04
3116,Evelyn District,"VALLENCE, Bridget",Liberal,39.92
3124,Hawthorn District,"PESUTTO, John",Liberal,98.56
3124,Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,1.13
3124,Kew District,"WILSON, Jess",Liberal,0.31
3125,Box Hill District,"HAMER, Paul",Australian Labor Party - Victorian Branch,53.13
3125,Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,46.87
3126,Hawthorn District,"PESUTTO, John",Liberal,58.99
3126,Kew District,"WILSON, Jess",Liberal,41.01
3127,Box Hill District,"HAMER, Paul",Australian Labor Party - Victorian Branch,54.26
3127,Hawthorn District,"PESUTTO, John",Liberal,31.72
3127,Kew District,"WILSON, Jess",Liberal,14.02
3130,Box Hill District,"HAMER, Paul",Australian Labor Party - Victorian Branch,68.79
3130,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,27.51
3130,Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,3.7
3131,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,64.98
