POA_NAME21,district_label,member,party,pct_area
3477,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,98.34
3477,Mildura District,"BENHAM, Jade",The Nationals,1.66
3478,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,75.1
3478,Mildura District,"BENHAM, Jade",The Nationals,24.9
3480,Mildura District,"BENHAM, Jade",The Nationals,73.19
3480,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,18.82
3480,Lowan District,"KEALY, Emma",The Nationals,7.99
3490,Mildura District,"BENHAM, Jade",The Nationals,81.36
3490,Lowan District,"KEALY, Emma",The Nationals,18.64
3515,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,88.77
3515,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,11.23
3516,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,86.32
3516,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,11.09
3516,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,2.59
3517,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,60.11
3517,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,26.67
3517,Murray Plains District,"WALSH, Peter",The Nationals,13.21
3518,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,80.62
3518,Murray Plains District,"WALSH, Peter",The Nationals,14.88
3518,Mildura District,"BENHAM, Jade",The Nationals,4.49
3525,Mildura District,"BENHAM, Jade",The Nationals,67.55
3525,Murray Plains District,"WALSH, Peter",The Nationals,17.69
3525,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,14.77
3527,Mildura District,"BENHAM, Jade",The Nationals,88.83
3527,Murray Plains District,"WALSH, Peter",The Nationals,11.17
